category,equipment_required,muscle,name
Strongman,Other,Forearms,Rickshaw Carry
Strength,Machine,Quadriceps,Single-Leg Press
Strongman,Other,Lower Back,Atlas Stones
Strength,Dumbbell,Biceps,Incline Hammer Curls
Strength,Barbell,Forearms,Wrist Rotations with Straight Bar
Strength,Barbell,Shoulders,Single-Arm Linear Jammer
Strength,Dumbbell,Shoulders,Side Laterals to Front Raise
Strength,Barbell,Middle Back,T-Bar Row with Handle
Strength,Medicine Ball,Abdominals,One-Arm Medicine Ball Slam
Strength,Barbell,Forearms,Palms-Down Wrist Curl Over A Bench
Olympic Weightlifting,Barbell,Quadriceps,Clean from Blocks
Strength,Other,Lats,Weighted Pull Ups
Strength,Barbell,Abdominals,Landmine 180's
Strength,Body Only,Triceps,Dips - Triceps Version
Strength,Barbell,Quadriceps,Barbell Full Squat
Strength,Dumbbell,Shoulders,Standing Palm-In One-Arm Dumbbell Press
Strength,Barbell,Forearms,Palms-Up Barbell Wrist Curl Over A Bench
Strongman,Other,Forearms,Farmer's Walk
Strength,Dumbbell,Hamstrings,Romanian Deadlift With Dumbbells
Powerlifting,Barbell,Glutes,Barbell Glute Bridge
Olympic Weightlifting,Barbell,Hamstrings,Clean Deadlift
Powerlifting,Barbell,Lower Back,Deficit Deadlift
Strongman,Other,Quadriceps,Tire Flip
Strength,Barbell,Shoulders,Clean and Press
Strength,Barbell,Hamstrings,Barbell Deadlift
Strength,Barbell,Forearms,Standing Palms-Up Barbell Behind The Back Wrist Curl
Strength,Other,Neck,Lying Face Down Plate Neck Resistance
Strength,Barbell,Triceps,Decline EZ Bar Triceps Extension
Olympic Weightlifting,Barbell,Shoulders,Push Press
Olympic Weightlifting,Barbell,Quadriceps,Snatch
Olympic Weightlifting,Barbell,Shoulders,Clean and Jerk
Olympic Weightlifting,Barbell,Quadriceps,Hang Clean
Strength,Barbell,Forearms,Finger Curls
Strength,Other,Abdominals,Suspended Fallout
Strength,Barbell,Biceps,Wide-Grip Standing Barbell Curl
Strength,Dumbbell,Shoulders,Standing Palms-In Dumbbell Press
Strength,Barbell,Shoulders,Standing Military Press
Strength,Kettlebells,Shoulders,One-Arm Kettlebell Push Press
Powerlifting,Barbell,Quadriceps,Box Squat
Powerlifting,Dumbbell,Triceps,Dumbbell Floor Press
Powerlifting,Barbell,Hamstrings,Sumo Deadlift
Powerlifting,Barbell,Quadriceps,Reverse Band Box Squat
Strength,Body Only,Abdominals,Plank
Strength,Cable,Abdominals,Standing Cable Lift
Strength,Body Only,Abdominals,Bottoms Up
Strength,Dumbbell,Abdominals,Spell Caster
Strength,Dumbbell,Abdominals,Dumbbell V-Sit Cross Jab
Strength,Dumbbell,Chest,Dumbbell Bench Press
Strength,Body Only,Lats,Pullups
Strength,Body Only,Chest,Pushups
Strength,Barbell,Middle Back,Reverse Grip Bent-Over Rows
Strength,Machine,Traps,Smith Machine Shrug
Strength,E-Z Curl Bar,Biceps,Spider Curl
Strength,Body Only,Abdominals,Decline Reverse Crunch
Strength,Kettlebells,Quadriceps,Front Squats With Two Kettlebells
Olympic Weightlifting,Barbell,Hamstrings,Power Snatch
Olympic Weightlifting,Barbell,Hamstrings,Romanian Deadlift from Deficit
Plyometrics,Other,Quadriceps,Single Leg Push-off
Stretching,Body Only,Abductors,Hip Circles (prone)
Strength,Machine,Calves,Smith Machine Calf Raise
Strength,Cable,Forearms,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl
Strength,Barbell,Shoulders,Seated Barbell Military Press
Cardio,Other,Quadriceps,Rope Jumping
Olympic Weightlifting,Barbell,Hamstrings,Power Clean from Blocks
Strength,Body Only,Abdominals,Spider Crawl
Strength,Barbell,Quadriceps,Barbell Walking Lunge
Strength,Dumbbell,Chest,Dumbbell Flyes
Strength,Barbell,Triceps,Close-Grip Barbell Bench Press
Strength,Body Only,Abdominals,Cross-Body Crunch
Strength,Body Only,Lats,Chin-Up
Strength,Other,Forearms,Wrist Roller
Strength,Cable,Triceps,Triceps Pushdown - V-Bar Attachment
Strength,Dumbbell,Shoulders,One-Arm Side Laterals
Strength,E-Z Curl Bar,Biceps,EZ-Bar Curl
Strength,Dumbbell,Shoulders,Power Partials
Powerlifting,Barbell,Glutes,Barbell Hip Thrust
Olympic Weightlifting,Barbell,Quadriceps,Olympic Squat
Strongman,Other,Lower Back,Axle Deadlift
Strength,Machine,Traps,Leverage Shrug
Strength,Cable,Abdominals,One-Arm High-Pulley Cable Side Bends
Strength,None,Hamstrings,Floor Glute-Ham Raise
Strength,Body Only,Abdominals,Elbow to Knee
Strength,Other,Lower Back,Hyperextensions (Back Extensions)
Strength,Dumbbell,Biceps,Hammer Curls
Strength,Dumbbell,Biceps,Zottman Curl
Strength,Other,Triceps,Weighted Bench Dip
Strength,Dumbbell,Shoulders,Seated Dumbbell Press
Strength,Dumbbell,Shoulders,Standing Dumbbell Straight-Arm Front Delt Raise Above Head
Strength,Dumbbell,Shoulders,Reverse Flyes
Strength,Dumbbell,Chest,Incline Dumbbell Press
Strength,Kettlebells,Quadriceps,Kettlebell Pistol Squat
Cardio,Machine,Quadriceps,Step Mill
Strength,Body Only,Hamstrings,Natural Glute Ham Raise
Strength,Dumbbell,Shoulders,Standing Dumbbell Press
Strength,Cable,Chest,Low Cable Crossover
Strength,Body Only,Abdominals,Cocoons
Strength,Dumbbell,Biceps,Biceps Curl To Shoulder Press
Strength,Dumbbell,Chest,Decline Dumbbell Flyes
Strength,Other,Abdominals,Plate Twist
Strength,Dumbbell,Biceps,Concentration Curls
Strength,Other,Chest,Dips - Chest Version
Strength,Cable,Triceps,Kneeling Cable Triceps Extension
Strength,Machine,Adductors,Thigh Adductor
Strength,Barbell,Biceps,Barbell Curl
Strength,Cable,Triceps,Reverse Grip Triceps Pushdown
Strength,Body Only,Abdominals,Gorilla Chin/Crunch
Strength,Body Only,Abdominals,Decline Crunch
Strength,Cable,Biceps,Overhead Cable Curl
Strength,Other,Abdominals,Hanging Pike
Strength,Barbell,Quadriceps,Narrow Stance Squats
Strength,Other,Lats,Rocky Pull-Ups/Pulldowns
Strength,Dumbbell,Biceps,Flexor Incline Dumbbell Curls
Strength,Dumbbell,Shoulders,Dumbbell Lying One-Arm Rear Lateral Raise
Strength,Dumbbell,Triceps,Standing Dumbbell Triceps Extension
Strength,Barbell,Chest,Barbell Bench Press - Medium Grip
Strength,Dumbbell,Shoulders,Front Dumbbell Raise
Strength,Dumbbell,Forearms,Seated One-Arm Dumbbell Palms-Up Wrist Curl
Strength,Barbell,Forearms,Seated Palms-Down Barbell Wrist Curl
Strongman,Other,Quadriceps,Bear Crawl Sled Drags
Strength,Dumbbell,Shoulders,Alternating Deltoid Raise
Strength,Machine,Biceps,Machine Bicep Curl
Strength,E-Z Curl Bar,Chest,Bodyweight Flyes
Strength,Barbell,Middle Back,One-Arm Long Bar Row
Strength,Body Only,Abdominals,Hanging Oblique Knee Raise
Strength,Body Only,Quadriceps,Bodyweight Lunge
Strength,Dumbbell,Middle Back,One-Arm Dumbbell Row
Strength,Machine,Calves,Standing Calf Raises
Strength,Cable,Glutes,One-Legged Cable Kickback
Strength,Cable,Chest,Incline Cable Flye
Strength,Dumbbell,Shoulders,Dumbbell Shoulder Press
Strength,Body Only,Triceps,Push-Ups - Close Triceps Position
Powerlifting,Barbell,Quadriceps,Box Squat with Bands
Powerlifting,Barbell,Quadriceps,Squat with Chains
Strength,Barbell,Quadriceps,Weighted Jump Squat
Strength,Other,Quadriceps,Single-Leg High Box Squat
Strength,E-Z Curl Bar,Triceps,EZ-Bar Skullcrusher
Strength,Dumbbell,Shoulders,Single Dumbbell Raise
Strength,Barbell,Shoulders,Car Drivers
Strength,Dumbbell,Shoulders,Standing Alternating Dumbbell Press
Strength,Medicine Ball,Abdominals,Weighted Suitcase Crunch
Strength,Cable,Abdominals,Oblique Cable Crunch
Strength,Barbell,Shoulders,Snatch-Grip Behind-The-Neck Overhead Press
Strength,Barbell,Middle Back,Bent Over One-Arm Long Bar Row
Strength,Barbell,Chest,Wide-Grip Decline Barbell Bench Press
Strength,Barbell,Quadriceps,Front Barbell Squat
Strength,Machine,Hamstrings,Lying Leg Curls
Strength,Cable,Triceps,Triceps Pushdown - Rope Attachment
Strength,Machine,Shoulders,Smith Machine Overhead Shoulder Press
Strength,Cable,Triceps,Cable One Arm Tricep Extension
Strength,Dumbbell,Shoulders,Arnold Dumbbell Press
Strength,Exercise Ball,Abdominals,Exercise Ball Pull-In
Strength,Cable,Abdominals,Cable Crunch
Strength,Cable,Lats,V-Bar Pulldown
Strength,Barbell,Abdominals,Barbell Ab Rollout
Strength,Body Only,Abdominals,Hanging Leg Raise
Strength,Dumbbell,Biceps,Dumbbell Bicep Curl
Strength,Barbell,Triceps,Decline Close-Grip Bench To Skull Crusher
Strength,Dumbbell,Forearms,Dumbbell Lying Supination
Cardio,Other,Quadriceps,Bicycling
Cardio,Machine,Quadriceps,"Rowing, Stationary"
Strength,Machine,Shoulders,Leverage Shoulder Press
Strength,Cable,Abdominals,Kneeling Cable Crunch With Alternating Oblique Twists
Strength,Other,Lats,Muscle Up
Strength,Cable,Lats,Shotgun Row
Strength,Dumbbell,Chest,Incline Dumbbell Press Reverse-Grip
Strength,Barbell,Middle Back,T-Bar Row
Strength,Barbell,Quadriceps,Barbell Squat
Strength,Barbell,Middle Back,Bent Over Two-Arm Long Bar Row
Strength,Barbell,Chest,Wide-Grip Barbell Bench Press
Strength,Barbell,Chest,Decline Barbell Bench Press
Strength,Dumbbell,Quadriceps,Dumbbell Squat
Strength,Other,Abdominals,Ab Roller
Strength,Barbell,Abdominals,Barbell Ab Rollout - On Knees
Strength,Other,Shoulders,Front Plate Raise
Strength,Dumbbell,Biceps,Cross Body Hammer Curl
Strength,Barbell,Biceps,Close-Grip EZ Bar Curl
Strength,Dumbbell,Triceps,Seated Triceps Press
Strength,Barbell,Triceps,Incline Barbell Triceps Extension
Olympic Weightlifting,Barbell,Hamstrings,Snatch Deadlift
Plyometrics,Other,Quadriceps,Side to Side Box Shuffle
Strength,Medicine Ball,Abdominals,Weighted Crunches
Strength,Dumbbell,Quadriceps,Dumbbell Goblet Squat
Strength,Body Only,Lats,Wide-Grip Pull-Up
Strength,Body Only,Lower Back,Hyperextensions With No Hyperextension Bench
Strength,Dumbbell,Quadriceps,Dumbbell Lunges
Strength,Machine,Quadriceps,Leg Press
Strength,Body Only,Glutes,Butt Lift (Bridge)
Strength,Body Only,Abdominals,Reverse Crunch
Strength,Body Only,Abdominals,Air Bike
Strength,Machine,Quadriceps,Narrow Stance Hack Squats
Strength,Machine,Quadriceps,Narrow Stance Leg Press
Strength,Barbell,Biceps,Barbell Curls Lying Against An Incline
Strength,Dumbbell,Forearms,Dumbbell Lying Pronation
Stretching,Body Only,Adductors,Groiners
Cardio,Machine,Quadriceps,Elliptical Trainer
Cardio,Machine,Quadriceps,Stairmaster
Plyometrics,Body Only,Quadriceps,Double Leg Butt Kick
Plyometrics,Body Only,Quadriceps,Standing Long Jump
Strength,Exercise Ball,Hamstrings,Ball Leg Curl
Strength,Body Only,Chest,Incline Push-Up
